PROVINCE_UID,PROVINCE_NAME,CCSUID,CCSNAME,CROPUID,CROP_NAME,FARMS_REPORTING,HECTARES
11,Prince Edward Island,1101005,"Murray River, Part 1",1,Total area of field crops and hay,14,2597
11,Prince Edward Island,1101005,"Murray River, Part 1",4,"Wheat, total",3,625
11,Prince Edward Island,1101005,"Murray River, Part 1",7,Spring wheat (excluding durum),1,243
11,Prince Edward Island,1101005,"Murray River, Part 1",10,Durum wheat,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",13,Winter wheat,3,382
11,Prince Edward Island,1101005,"Murray River, Part 1",16,Oats,1,
11,Prince Edward Island,1101005,"Murray River, Part 1",19,Barley,5,232
11,Prince Edward Island,1101005,"Murray River, Part 1",22,Mixed grains,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",25,"Corn, total",2,352
11,Prince Edward Island,1101005,"Murray River, Part 1",28,Corn for grain,2,352
11,Prince Edward Island,1101005,"Murray River, Part 1",31,Corn for silage,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",34,"Rye, total",0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",37,Fall rye,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",40,Spring rye,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",43,Canola (rapeseed),0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",46,Soybeans,6,956
11,Prince Edward Island,1101005,"Murray River, Part 1",49,Flaxseed,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",52,Dry field peas,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",55,Chick peas,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",58,Lentils,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",61,Faba beans,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",64,Dry white beans,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",67,Other dry beans,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",70,Alfalfa and alfalfa mixtures,3,
11,Prince Edward Island,1101005,"Murray River, Part 1",73,All other tame hay and fodder crops,10,322
